embedding_x,embedding_y
-7.153213,8.136319
7.669686,10.0699835
3.4839013,18.729637
13.644374,6.906226
-3.9575365,1.5826833
9.692955,13.349512
6.8615236,19.964283
7.058332,22.509575
4.98206,20.27447
12.912962,7.462308
-6.7035875,7.7482295
5.501018,12.689044
4.6003346,20.262136
-2.3362963,0.9323526
8.74986,15.126057
4.6534753,20.326963
9.0549965,-6.620427
10.25588,21.191252
-6.6597624,7.791206
4.672233,19.986635
4.639024,19.725542
9.409206,21.459015
6.824487,21.601402
8.79102,20.561981
8.513765,15.097572
-6.6654434,7.797823
10.295147,14.947611
15.48192,6.519878
13.198244,7.591557
-6.967301,7.6796656
5.503376,19.747112
9.897664,15.525389
10.271233,21.63738
-6.69043,7.7720304
-3.9327226,1.5686809
8.685542,20.892508
4.6259465,20.271524
9.556097,12.951244
5.951702,20.075634
-6.9843388,7.6937847
4.6000648,19.885372
2.9289172,1.1959592
6.085321,20.2142
-1.037113,0.12437216
7.6091704,9.089818
8.250713,16.85341
-6.9732327,7.672599
5.0103483,20.313927
6.131795,12.671976
2.81007,0.13603073
21.065779,15.805233
14.716165,6.8194957
6.7619596,15.349099
3.2582328,18.546885
3.166467,17.884926
-6.667582,7.79132
21.008589,15.946415
10.386234,15.148574
4.817842,19.560015
2.849538,0.15579693
-6.658939,7.8015404
8.6407175,16.45542
9.626222,20.886747
-6.68913,7.7472434
10.025732,21.029097
-6.7441807,7.713936
4.951369,20.304136
14.544306,6.8633466
5.034192,20.286743
-5.110348,8.503219
8.673023,15.028884
5.502039,19.291634
-6.672484,7.7874546
-6.6377726,7.822826
-6.6685834,7.7902966
12.999243,8.522927
-2.7260284,1.1382952
5.062447,19.777088
4.232995,18.978859
10.124342,11.883404
-6.6727977,7.792394
13.221127,8.087685
-6.8523846,7.9265428
-6.978098,7.67635
-3.5941095,1.3868695
2.4517353,17.67202
1.1983739,16.996128
7.943493,8.980639
4.602249,19.98717
9.050695,14.964148
16.232548,0.69559264
13.573071,6.9022417
7.3709154,20.757154
-6.704864,7.7205276
9.93096,14.758228
-6.6936483,7.7804947
5.132799,20.2388
-5.133479,8.47755
16.745056,1.5726017
-0.06079967,-0.3719421
7.5454087,20.737402
-6.6452127,7.7914834
-6.7491875,7.7059307
7.3622494,20.771553
2.6850784,18.500584
9.515919,21.851107
-2.804372,1.1695628
7.4626665,20.2291
-6.873027,7.3413606
-6.7496257,7.151268
8.254306,15.159005
-6.8340373,7.296145
9.912247,21.016308
-6.7471766,7.153276
9.793357,13.11565
4.1835527,19.091398
2.7682812,18.484526
-6.789891,7.2217813
4.7755384,19.656242
